Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
Foundation e Infraestructura,Epic,High,"Configuración inicial: Docker Compose con PostgreSQL 16 + MongoDB 7 + MinIO; dependencias Maven; estructura de paquetes modulares y application.properties",,Foundation e Infraestructura,,,foundation
Identity Module,Epic,High,"Módulo de autenticación: registro y login con JWT (HS256); roles CUSTOMER/WAITER/KITCHEN/ADMIN; Spring Security stateless",,Identity Module,,,identity
Catalog Module,Epic,High,"Módulo de catálogo: CRUD de categorías e ítems de menú con imágenes en MinIO; gestión de mesas (número, capacidad, estado)",,Catalog Module,,,catalog
Session Module,Epic,High,"Módulo de sesiones: lobby de mesas; generación de QR (JWT corto); pedidos colaborativos en tiempo real con WebSocket STOMP",,Session Module,,,session
Kitchen Module,Epic,High,"Módulo de cocina: cola de pedidos en tiempo real via ApplicationEvents; actualización de estados PENDING→PREPARING→READY→DELIVERED",,Kitchen Module,,,kitchen
Billing Module,Epic,High,"Módulo de facturación: cálculo de cuentas desde sesión; división por consumo o partes iguales; pago físico y stub de pasarela digital",,Billing Module,,,billing
Cross-cutting y Hardening,Epic,Medium,"Actuator health checks; Swagger/OpenAPI; rate limiting en auth; MDC logging; tests de integración E2E; Dockerfile; spring profiles dev/prod",,Cross-cutting y Hardening,,,hardening
Docker Compose: PostgreSQL 16 + MongoDB 7 + MinIO,Task,High,"Crear docker-compose.yml en la raíz del proyecto con servicios postgres:16, mongo:7 y minio/minio. Incluir volúmenes persistentes y variables de entorno. Verificar con docker compose ps que los 3 servicios estén running.",Sprint 1 - Foundation & Identity,,Foundation e Infraestructura,3,foundation infrastructure
Agregar dependencias Maven: Security + JWT + PostgreSQL + Validation,Task,High,"Agregar al pom.xml: spring-boot-starter-security, spring-boot-starter-validation, postgresql (runtime), jjwt-api/impl/jackson 0.12.3. Verificar BUILD SUCCESS con ./mvnw compile.",Sprint 1 - Foundation & Identity,,Foundation e Infraestructura,2,foundation identity
application.properties + estructura de paquetes modulares,Task,High,"Configurar datasource PostgreSQL, MongoDB URI, JWT secret/expiration y MinIO URL en application.properties. Crear package-info.java en catalog, session, billing y kitchen. Verificar que la app arranca sin errores.",Sprint 1 - Foundation & Identity,,Foundation e Infraestructura,3,foundation
User entity + Role enum + DTOs de autenticación,Story,High,"Crear User.java (@Entity, UUID id), Role.java (CUSTOMER/WAITER/KITCHEN/ADMIN), RegisterRequest.java, LoginRequest.java y AuthResponse.java con validaciones @NotBlank/@Email/@NotNull.",Sprint 1 - Foundation & Identity,,Identity Module,3,identity
UserRepository,Story,High,"Crear UserRepository extendiendo JpaRepository<User, String> con findByEmail(String) y existsByEmail(String).",Sprint 1 - Foundation & Identity,,Identity Module,2,identity
JwtService con TDD (generar / extraer / validar token),Story,High,"TDD: escribir JwtServiceTest primero (5 casos: generateToken, extractSubject, isValid fresh, isValid expired, isValid tampered). Luego implementar JwtService usando JJWT 0.12.3 con @Value para secret y expiration.",Sprint 1 - Foundation & Identity,,Identity Module,5,identity tdd
EmberUserDetailsService + SecurityConfig con filtro JWT,Story,High,"Implementar EmberUserDetailsService cargando usuario por email. Crear SecurityConfig: CSRF desactivado, sesión stateless, /api/auth/** permitAll, JwtAuthFilter como OncePerRequestFilter antes de UsernamePasswordAuthenticationFilter.",Sprint 1 - Foundation & Identity,,Identity Module,5,identity security
AuthService con TDD (registro y login),Story,High,"TDD: escribir AuthServiceTest (5 casos: register happy, register email duplicado, login happy, login email desconocido, login contraseña incorrecta). Implementar AuthService con BCrypt y JwtService.",Sprint 1 - Foundation & Identity,,Identity Module,5,identity tdd
AuthController + GlobalExceptionHandler con TDD,Story,High,"TDD con MockMvc: POST /api/auth/register (200, 409, 400) y POST /api/auth/login (200, 401). Crear GlobalExceptionHandler con @RestControllerAdvice mapeando IllegalArgumentException→409, BadCredentialsException→401, MethodArgumentNotValidException→400.",Sprint 1 - Foundation & Identity,,Identity Module,5,identity tdd
Smoke test E2E: registro y login contra base de datos real,Task,High,"Con docker-compose running y la app en localhost:8080: verificar POST /api/auth/register devuelve JWT válido; POST /api/auth/login devuelve JWT; registro duplicado retorna 409. Documentar resultado en descripción de la tarea.",Sprint 1 - Foundation & Identity,,Identity Module,2,identity e2e
Configuración MinIO: bean MinioClient + creación de bucket,Task,High,"Agregar dependencia minio-sdk al pom.xml. Crear MinioConfig.java con @Bean MinioClient leyendo minio.url, access-key y secret-key desde application.properties. Al iniciar, crear bucket 'ember-media' si no existe.",Sprint 2 - Catalog Module,,Catalog Module,3,catalog minio
Category entity + CategoryRepository,Story,High,"Crear Category.java (@Entity: id Long, name String unique not null) y CategoryRepository extendiendo JpaRepository<Category, Long>.",Sprint 2 - Catalog Module,,Catalog Module,2,catalog
CategoryService CRUD con TDD,Story,High,"TDD: casos create, findAll, findById, update, delete, create nombre duplicado → excepción. Implementar CategoryService con manejo de ResourceNotFoundException.",Sprint 2 - Catalog Module,,Catalog Module,3,catalog tdd
CategoryController con TDD,Story,High,"TDD MockMvc: GET /api/catalog/categories, POST, PUT /{id}, DELETE /{id}. Solo ADMIN puede crear/modificar/eliminar (verificar 403 para otros roles).",Sprint 2 - Catalog Module,,Catalog Module,3,catalog tdd
