Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
Web - Foundation & Auth,Epic,High,"Project bootstrap: Vite + React 18 + TypeScript; Tailwind CSS + shadcn/ui; React Router v6 with role-based guards; Axios JWT interceptor; Zustand auth store; Login page; Nginx Docker build",,Web - Foundation & Auth,,,web foundation
Web - Admin: Catalog & Users,Epic,High,"CRUD for categories, menu items (with MinIO image upload), and tables; user list; role assignment modal using PATCH /api/admin/users/{id}/role",,Web - Admin: Catalog & Users,,,web admin catalog
Web - Waiter: Sessions,Epic,High,"Floor plan table grid with live status; create session; QR code modal (qrcode.react); session detail page; add/remove items; capacity expansion; WebSocket STOMP hook",,Web - Waiter: Sessions,,,web waiter sessions
Web - Waiter: Billing,Epic,High,"Calculate bill; split by consumption or equally; register physical payment; initiate and confirm digital payment; session-close redirect",,Web - Waiter: Billing,,,web waiter billing
Web - Kitchen Display,Epic,High,"Full-screen KDS with kanban columns; order cards per table; PREPARING/READY/DELIVERED controls; real-time updates via WebSocket; audio alert on new item",,Web - Kitchen Display,,,web kitchen
Web - Real-time & Polish,Epic,Medium,"Subscribe to /topic/session/{id} events; toast notifications; error boundaries; loading skeletons; SESSION_CLOSED broadcast handling",,Web - Real-time & Polish,,,web realtime polish
Web - Testing & DevOps,Epic,Medium,"Vitest unit tests; Testing Library component tests; Playwright E2E; GitHub Actions CI; Dockerfile + Nginx; add web service to docker-compose.yml",,Web - Testing & DevOps,,,web testing devops
Mobile - Foundation & Auth,Epic,High,"Expo SDK 51 + TypeScript; React Navigation v6 (stack + tabs); Axios JWT interceptor; Zustand + SecureStore persistence; Login and Register screens; NativeWind; splash/icon",,Mobile - Foundation & Auth,,,mobile foundation
Mobile - Menu Discovery,Epic,High,"Category horizontal scroll; menu items FlatList with filter; MenuItem card with image; detail bottom sheet; search with debounce; TanStack Query cache for offline stale",,Mobile - Menu Discovery,,,mobile menu
Mobile - Session Joining,Epic,High,"expo-camera QR scanner; display-name input before join; active session home screen; participant avatars; table number header; error/leave handling",,Mobile - Session Joining,,,mobile session
Mobile - Ordering,Epic,High,"Add item from detail sheet; My Orders tab with status chips; All Orders grouped by participant; swipe-to-delete PENDING items; real-time status animation via WebSocket",,Mobile - Ordering,,,mobile ordering
Mobile - Billing,Epic,High,"Bill tab on waiter trigger; my bill breakdown; total summary; digital payment flow; payment pending/confirmed screens; session receipt",,Mobile - Billing,,,mobile billing
Mobile - Real-time & Notifications,Epic,Medium,"STOMP hook with JWT; ITEM_STATUS_UPDATED events; SESSION_CLOSED → receipt; expo-notifications push token; 'order ready' push; in-app notification dot",,Mobile - Real-time & Notifications,,,mobile realtime
Mobile - Testing & Release,Epic,Medium,"Unit + component tests (Jest + Testing Library); Maestro E2E; EAS Build config; iOS TestFlight + Android internal track; Sentry integration; store metadata",,Mobile - Testing & Release,,,mobile testing release
EMBW-01: Initialize Vite + React 18 + TypeScript project,Task,High,"Run: npm create vite@latest ember-web -- --template react-ts. Install and configure ESLint + Prettier. Add tsconfig paths alias (@/). Verify dev server starts and renders a blank page. Commit with package.json and tsconfig.json.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,2,web foundation
EMBW-02: Configure Tailwind CSS and shadcn/ui base components,Task,High,"Install tailwindcss + postcss + autoprefixer. Run shadcn/ui init (New York style, slate base color). Add Button, Input, Label, Card, Dialog, Badge, Separator. Verify Tailwind classes apply in App.tsx.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,2,web foundation ui
EMBW-03: Axios instance with JWT Bearer interceptor and error handler,Task,High,"Create src/lib/api.ts with axios.create({ baseURL: VITE_API_URL }). Add request interceptor: reads token from Zustand store and injects 'Authorization: Bearer {token}'. Add response interceptor: on 401 clears auth store and redirects to /login. Export typed API helper functions.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,3,web foundation http
EMBW-04: Zustand auth store with localStorage persistence,Task,High,"Create src/store/authStore.ts using zustand + persist middleware (localStorage). Store: { token, userId, name, role }. Actions: setAuth(response), clearAuth(). Export useAuthStore hook. Verify token survives page refresh.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,2,web foundation auth
EMBW-05: React Router v6 with role-based protected routes,Task,High,"Install react-router-dom v6. Define routes: /login (public), / (redirect based on role), /admin/* (ADMIN), /waiter/* (WAITER), /kitchen (KITCHEN). Create ProtectedRoute component that reads role from authStore and renders 403 fallback if unauthorized. Add NotFound page.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,3,web foundation routing
EMBW-06: Login page with React Hook Form + Zod validation,Task,High,"Create /login route. Form: email (required, valid email) + password (required, min 6). On submit call POST /api/auth/login; on success call setAuth() and navigate based on role. Show toast on 401. Show field-level validation errors. Rate limit feedback (show 'Too many attempts' on 429).",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,3,web auth
EMBW-07: App shell layout (sidebar, topbar, role-aware navigation),Task,High,"Create AppLayout component wrapping all authenticated routes. Sidebar links: ADMIN sees Catalog+Users, WAITER sees Tables+Sessions+Billing, KITCHEN sees KDS. Topbar shows user name + role badge + logout button. Collapse sidebar on mobile breakpoint.",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,3,web foundation layout
EMBW-08: Dockerfile (Nginx) and production build config,Task,Medium,"Create frontend/Dockerfile: node:20-alpine build stage (npm ci + npm run build); nginx:alpine serve stage copying dist/ to /usr/share/nginx/html. Add nginx.conf with try_files for SPA routing. Add EMBW_API_URL runtime env injection via entrypoint script. Add web service to docker-compose.yml (depends_on: app).",Sprint 1 - Web Foundation & Auth,,Web - Foundation & Auth,3,web devops docker
EMBW-09: Category list page with inline create/delete,Task,High,"Route: /admin/categories. Fetch GET /api/catalog/categories (TanStack Query). Render table: name + action column. 'New Category' button opens create dialog (name field, POST /api/catalog/categories). Delete icon with confirmation popover (DELETE /api/catalog/categories/{id}). Show toast on success/error.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin catalog
EMBW-10: Category edit modal,Task,High,"From category row, 'Edit' button opens Dialog with prefilled name field. On save: PUT /api/catalog/categories/{id}. Invalidate query on success. Handle 409 (duplicate name). Accessible with keyboard (trap focus in dialog).",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,2,web admin catalog
EMBW-11: Menu items list with pagination and availability filter,Task,High,"Route: /admin/menu-items. Fetch GET /api/catalog/items. Table columns: image thumbnail, name, category, price, availability badge. Filter by category (select) and availability (toggle). Clicking row navigates to /admin/menu-items/{id}.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin catalog
