Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
Design System & Foundations,Epic,High,"Definición de las bases visuales para web y móvil: paleta de colores, tipografía, escala de espaciado, iconografía y adaptación de los sistemas de componentes (shadcn/ui y NativeWind).",,Design System & Foundations,,,design system
UX/UI Web - Admin & Waiter,Epic,High,"Diseño de todas las vistas web usadas por el personal del restaurante: login, administración de catálogo y usuarios, floor-plan de mesero, creación de sesión con QR, detalle de sesión y flujo de cobro/división de cuenta.",,UX/UI Web - Admin & Waiter,,,web ux admin waiter
UX/UI Web - KDS (Kitchen),Epic,High,"Diseño del Kitchen Display System: tablero kanban full-screen con tema oscuro optimizado para pantallas de cocina y controles de estado de preparación en tiempo real.",,UX/UI Web - KDS (Kitchen),,,web ux kitchen kds
UX/UI Mobile - Customer Experience,Epic,High,"Diseño de todas las pantallas móviles de la app Expo para comensales: onboarding, escaneo QR, unirse a sesión, descubrimiento de menú, orden colaborativa en tiempo real y flujo de pago.",,UX/UI Mobile - Customer Experience,,,mobile ux customer
Prototyping & Dev Handoff,Epic,High,"Creación de prototipos interactivos para pruebas de usabilidad y preparación de todos los assets, tokens, specs y archivos de entrega para el equipo de desarrollo frontend.",,Prototyping & Dev Handoff,,,prototyping handoff
Define brand color palette and semantic tokens,Task,High,"Crear la paleta de colores Ember: primary (ember-orange), neutrales, success, warning y error. Definir tokens semánticos (background, surface, text, border, interactive) para modo claro y oscuro. Documentar reglas de uso para web (Tailwind custom colors) y móvil (NativeWind tokens). Entregar como Figma color styles library.",Sprint 1 - Design System & Foundations,,Design System & Foundations,3,design system color tokens
Define typography scale and font pairing,Task,High,"Seleccionar familias tipográficas para headings y body text. Definir la escala completa (xs a 4xl) con line-height y letter-spacing. Mapear cada nivel a las utilidades Tailwind correspondientes. Proveer ejemplos en contexto: títulos de card, labels, cuerpo de texto y captions. Entregar como Figma text styles.",Sprint 1 - Design System & Foundations,,Design System & Foundations,2,design system typography
Define spacing, grid and layout system,Task,Medium,"Documentar la escala base de espaciado (grid de 4px). Definir grillas de columnas para web (12-col desktop, 4-col tablet) y móvil (4-col). Especificar padding y gap estándar de componentes. Alinear todos los valores con las utilidades de espaciado de Tailwind y las dimensiones de React Native.",Sprint 1 - Design System & Foundations,,Design System & Foundations,2,design system spacing layout
Curate icon library and usage guidelines,Task,Medium,"Seleccionar el set de iconos (Lucide Icons para web, @expo/vector-icons para móvil). Definir tamaños (16, 20, 24, 32px), pesos de trazo y reglas de uso (filled vs. outline). Crear una hoja de referencia con todos los iconos del producto categorizados por dominio (navegación, acciones, estados, facturación).",Sprint 1 - Design System & Foundations,,Design System & Foundations,2,design system icons
Design shadcn/ui component adaptations for web,Task,High,"Customizar Button, Input, Badge, Card, Dialog, Select, Table y Tabs para que coincidan con el branding de Ember. Documentar variantes (tamaños: sm/md/lg, variantes: default/destructive/ghost/outline). Definir todos los estados de interacción (default, hover, focus, disabled, error). Entregar como librería de componentes Figma con Auto Layout.",Sprint 1 - Design System & Foundations,,Design System & Foundations,5,design system web components shadcn
Design NativeWind component primitives for mobile,Task,High,"Diseñar componentes base móviles: Text, Button, Input, Badge, Card, BottomSheet header y Avatar. Alinear todos los tokens con el design system web para consistencia visual. Exportar como componentes Figma móviles con Auto Layout, constraints correctos y anotaciones de safe-area para iOS y Android.",Sprint 1 - Design System & Foundations,,Design System & Foundations,5,design system mobile components nativewind
